"ComputerName","Enabled","LastLogonDate","Error"
"BRPPYWN3103467","N/A","N/A","Cannot find an object with identity: 'BRPPYWN3103467' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRQHBWD3085712","N/A","N/A","Cannot find an object with identity: 'BRQHBWD3085712' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWD3064596","N/A","N/A","Cannot find an object with identity: 'BRRIOWD3064596' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3088090","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3088090' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3002103","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3002103' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRACAWN3133150","N/A","N/A","Cannot find an object with identity: 'BRACAWN3133150' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWN3088234","N/A","N/A","Cannot find an object with identity: 'BRRIOWN3088234' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3086343","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3086343' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJUNWN3089383","N/A","N/A","Cannot find an object with identity: 'BRJUNWN3089383' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWD3118548","N/A","N/A","Cannot find an object with identity: 'BRRIOWD3118548' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3002108","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3002108' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGRUWN3122142","N/A","N/A","Cannot find an object with identity: 'BRGRUWN3122142' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3129049","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3129049' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3002096","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3002096' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3090977","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3090977' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3002094","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3002094' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGYNWD3112469","N/A","N/A","Cannot find an object with identity: 'BRGYNWD3112469' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJRIWD3134829","True","25/02/2025 12:59:46",
"BRVINWD3120250","N/A","N/A","Cannot find an object with identity: 'BRVINWD3120250' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWD3087111","N/A","N/A","Cannot find an object with identity: 'BRLOZWD3087111' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3129131","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3129131' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWN3090686","N/A","N/A","Cannot find an object with identity: 'BRRIOWN3090686' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRETOWN3116104","N/A","N/A","Cannot find an object with identity: 'BRETOWN3116104' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRQOCWD3118546","N/A","N/A","Cannot find an object with identity: 'BRQOCWD3118546' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3128296","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3128296' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRAOWN3084796","N/A","N/A","Cannot find an object with identity: 'BRRAOWN3084796' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGRUWD3121602","N/A","N/A","Cannot find an object with identity: 'BRGRUWD3121602' under: 'DC=phx-dc,DC=dhl,DC=com'."
